,date,I,I_p,C_p
294,2020-11-11,,2352.0024438332307,14967.452308350126
295,2020-11-12,,2368.7688329578505,14968.548739099622
296,2020-11-13,,2385.6541439449293,14969.612276926633
297,2020-11-14,,2402.6592117124337,14970.643908618833
298,2020-11-15,,2419.7848769169,14971.644591360267
299,2020-11-16,,2437.0319859910996,14972.615253619459
300,2020-11-17,,2454.401391181928,14973.556796010875
301,2020-11-18,,2471.8939505885132,14974.470092130548
302,2020-11-19,,2489.510528200551,14975.355989366632
303,2020-11-20,,2507.2519939368613,14976.215309685633
304,2020-11-21,,2525.1192236841703,14977.048850395064
305,2020-11-22,,2543.1130993361185,14977.857384883211
306,2020-11-23,,2561.2345088324955,14978.641663336713
307,2020-11-24,,2579.4843461987025,14979.40241343661
308,2020-11-25,,2597.863511585443,14980.14034103351
309,2020-11-26,,2616.3729113086433,14980.856130802502
310,2020-11-27,,2635.013457889602,14981.550446878424
311,2020-11-28,,2653.786070095372,14982.223933472069
312,2020-11-29,,2672.6916729793757,14982.877215467905
313,2020-11-30,,2691.731197922248,14983.510899003864
314,2020-12-01,,2710.905582672921,14984.125572033745
315,2020-12-02,,2730.2157713899333,14984.721804872728
316,2020-12-03,,2749.662714682985,14985.300150726542
317,2020-12-04,,2769.2473696547213,14985.861146204741
318,2020-12-05,,2788.970699942757,14986.405311818595
319,2020-12-06,,2808.8336757619386,14986.933152464033
320,2020-12-07,,2828.8372739468423,14987.445157890108
321,2020-12-08,,2848.982477994516,14987.9418031534
322,2020-12-09,,2869.270278107459,14988.423549058794
323,2020-12-10,,2889.7016712368436,14988.890842587027
324,2020-12-11,,2910.277661125978,14989.344117309412
325,2020-12-12,,2930.9992583540125,14989.783793790126
326,2020-12-13,,2951.8674803798913,14990.210279976418
327,2020-12-14,,2972.883351586544,14990.62397157712
328,2020-12-15,,2994.047903325328,14991.025252429803
329,2020-12-16,,3015.362173960712,14991.414494856905
330,2020-12-17,,3036.8272089152088,14991.792060011194
331,2020-12-18,,3058.4440607145543,14992.158298210854
332,2020-12-19,,3080.213789033137,14992.513549264524
333,2020-12-20,,3102.137460739673,14992.858142786585
334,2020-12-21,,3124.2161499431327,14993.192398502984
335,2020-12-22,,3146.4509380389186,14993.516626547893
336,2020-12-23,,3168.842913755292,14993.831127751455
337,2020-12-24,,3191.3931732000533,14994.13619391891
338,2020-12-25,,3214.1028199074726,14994.432108101342
339,2020-12-26,,3236.9729648854777,14994.719144858302
340,2020-12-27,,3260.0047266630904,14994.997570512553
341,2020-12-28,,3283.1992313381215,14995.267643397176
342,2020-12-29,,3306.5576126251185,14995.52961409526
343,2020-12-30,,3330.081011903571,14995.783725672401
344,2020-12-31,,3353.7705782663697,14996.03021390223
345,2021-01-01,,3377.627468568526,14996.269307485163
346,2021-01-02,,3401.6528474761462,14996.50122826061
347,2021-01-03,,3425.8478875156643,14996.726191412792
348,2021-01-04,,3450.2137691233356,14996.944405670409
349,2021-01-05,,3474.7516806949866,14997.156073500297
350,2021-01-06,,3499.4628186360274,14997.361391295288
351,2021-01-07,,3524.348387411723,14997.560549556429
352,2021-01-08,,3549.4095995977245,14997.753733069736
353,2021-01-09,,3574.6476759308657,14997.941121077643
354,2021-01-10,,3600.063845360216,14998.122887445314
355,2021-01-11,,3625.659345098401,14998.299200821953
356,2021-01-12,,3651.435420673182,14998.470224797295
357,2021-01-13,,3677.3933259793,14998.636118053375
358,2021-01-14,,3703.5343233305844,14998.797034511774
359,2021-01-15,,3729.859683512326,14998.95312347642
360,2021-01-16,,3756.3706858339106,14999.104529772127
361,2021-01-17,,3783.0686181817237,14999.251393878962
362,2021-01-18,,3809.9547770723148,14999.39385206259
